Card ID,Card Name,Set ID,Set Name,Rarity,Color,Type,Cost,Power,Life,Counter,Attribute,Sub Types,Card Text,Is Parallel,Image URL,Picture URL,Market Price,Inventory Price,Last Priced,Owned
OP01-120,Shanks,OP-01,Romance Dawn,SEC,Red,Character,9,10000,,0,Slash,The Four Emperors Red-Haired Pirates,[Rush] (This card can attack on the turn in which it is played.) [When Attacking] Your opponent cannot activate a [Blocker] Character that has 2000 or less power during this battle.,No,https://optcgapi.com/media/static/Card_Images/OP01-120.jpg,,8.51,3.99,2026-09-07,
OP01-040,Kin'emon,OP-01,Romance Dawn,SR,Green,Character,6,6000,,0,Slash,Land of Wano The Akazaya Nine,"[On Play] If your Leader is [Kouzuki Oden], play up to 1 ""The Akazaya Nine"" type Character card with a cost of 3 or less from your hand. [DON!! x1] [When Attacking] [Once Per Turn] Set up to 1 of your ""The Akazaya Nine"" type Character cards with a cost of 3 or less as active.  This card has been officially errata'd.",No,https://optcgapi.com/media/static/Card_Images/OP01-040.jpg,,0.54,0.41,2026-09-07,
OP01-102_p1,Jack (Parallel),OP-01,Romance Dawn,R,Purple,Character,3,4000,,1000,Strike,Animal Kingdom Pirates,[When Attacking] DON!! -1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Your opponent trashes 1 card from their hand.,Yes,https://optcgapi.com/media/static/Card_Images/OP01-102_p1.jpg,,5.92,5.90,2026-09-07,
OP01-040_p1,Kin'emon (Parallel),OP-01,Romance Dawn,SR,Green,Character,6,6000,,0,Slash,Land of Wano The Akazaya Nine,"[On Play] If your Leader is [Kouzuki Oden], play up to 1 ""The Akazaya Nine"" type Character card with a cost of 3 or less from your hand. [DON!! x1] [When Attacking] [Once Per Turn] Set up to 1 of your ""The Akazaya Nine"" type Character cards with a cost of 3 or less as active.  This card has been officially errata'd.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-040_p1.jpg,,6.15,2.50,2026-09-07,
OP01-120_p1,Shanks (Parallel),OP-01,Romance Dawn,SEC,Red,Character,9,10000,,0,Slash,The Four Emperors Red-Haired Pirates,[Rush] (This card can attack on the turn in which it is played.) [When Attacking] Your opponent cannot activate a [Blocker] Character that has 2000 or less power during this battle.,Yes,https://optcgapi.com/media/static/Card_Images/OP01-120_p1.jpg,,91.40,49.00,2026-09-07,
OP01-067_p1,Crocodile (067) (Parallel),OP-01,Romance Dawn,SR,Blue,Character,7,7000,,1000,Special,Baroque Works The Seven Warlords of the Sea,"[Banish] (When this card deals damage, the target card is trashed without activating its Trigger.) [DON!! x1] Give blue Events in your hand -1 cost.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-067_p1.jpg,,9.96,9.00,2026-09-07,
OP01-121_p1,Yamato (Parallel),OP-01,Romance Dawn,SEC,Green,Character,5,5000,,1000,Strike,Land of Wano,"Also treat this card's name as [Kouzuki Oden] according to the rules. [Double Attack] (This card deals 2 damage.) [Banish] (When this card deals damage, the target card is trashed without activating its Trigger.)",Yes,https://optcgapi.com/media/static/Card_Images/OP01-121_p1.jpg,,137.72,79.90,2026-09-07,
OP01-097_p1,Queen (Parallel),OP-01,Romance Dawn,R,Purple,Character,6,5000,,1000,Strike,Animal Kingdom Pirates,"[On Play] DON!! -1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains [Rush] during this turn. Then, give up to 1 of your opponent's Characters -2000 power during this turn. (This card can attack on the turn in which it is played.)  This card has been officially errata'd.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-097_p1.jpg,,5.67,5.70,2026-09-07,
OP01-073_p1,Donquixote Doflamingo (073) (Parallel),OP-01,Romance Dawn,R,Blue,Character,3,4000,,1000,Special,Donquixote Pirates The Seven Warlords of the Sea,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] Look at 5 cards from the top of your deck and place them at the top or bottom of the deck in any order.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-073_p1.jpg,,22.44,18.99,2026-09-07,
OP01-093_p1,Ulti (Parallel),OP-01,Romance Dawn,R,Purple,Character,2,3000,,0,Strike,Animal Kingdom Pirates,[On Play] (1) (You may rest the specified number of DON!! cards in your cost area.): Add up to 1 DON!! card from your DON!! deck and rest it.  This card has been officially errata'd.,Yes,https://optcgapi.com/media/static/Card_Images/OP01-093_p1.jpg,,13.06,10.99,2026-09-07,
OP01-013_p1,Sanji (Parallel),OP-01,Romance Dawn,R,Red,Character,2,3000,,2000,Strike,Straw Hat Crew,"[Activate:Main] [Once Per Turn] You may add 1 card from your Life area to your hand: This Character gains +2000 power during this turn. Then, give this Character up to 2 rested DON!! cards.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-013_p1.jpg,,101.18,47.99,2026-09-07,
OP01-094_p1,Kaido (094) (Parallel),OP-01,Romance Dawn,SR,Purple,Character,10,12000,,0,Strike,Animal Kingdom Pirates The Four Emperors,"[On Play] DON!! -6 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the ""Animal Kingdom Pirates"" type, K.O. all Characters other than this Character.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-094_p1.jpg,,24.70,20.00,2026-09-07,
OP01-047_p1,Trafalgar Law (047) (Parallel),OP-01,Romance Dawn,SR,Green,Character,5,6000,,0,Slash,Heart Pirates Supernovas,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] You may return 1 Character to your hand: Play up to 1 Character card with a cost of 3 or less from your hand.  This card has been officially errata'd.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-047_p1.jpg,,60.37,22.00,2026-09-07,
OP01-078_p1,Boa Hancock (Parallel),OP-01,Romance Dawn,SR,Blue,Character,4,5000,,1000,Special,Kuja Pirates The Seven Warlords of the Sea,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x1] [When Attacking]/[On Block] Draw 1 card if you have 5 or less cards in your hand.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-078_p1.jpg,,164.39,79.00,2026-09-07,
OP01-025_p1,Roronoa Zoro (025) (Parallel),OP-01,Romance Dawn,SR,Red,Character,3,5000,,0,Slash,Straw Hat Crew Supernovas,[Rush] (This card can attack on the turn in which it is played.),Yes,https://optcgapi.com/media/static/Card_Images/OP01-025_p1.jpg,,267.98,80.00,2026-09-07,
OP01-096_p1,King (096) (Parallel),OP-01,Romance Dawn,SR,Purple,Character,7,7000,,0,Special,Animal Kingdom Pirates,[On Play] DON!! -2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less and up to 1 of your opponent's Characters with a cost of 2 or less.  This card has been officially errata'd.,Yes,https://optcgapi.com/media/static/Card_Images/OP01-096_p1.jpg,,10.84,10.39,2026-09-07,
OP01-031_p1,Kouzuki Oden (Parallel),OP-01,Romance Dawn,L,Green,Leader,,5000,5,,Slash,Land of Wano Kouzuki Clan,"[Activate:Main] [Once Per Turn] You can trash 1 ""Land of Wano"" type card from your hand: Set up to 2 of your DON!! cards as active.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-031_p1.jpg,,79.42,34.99,2026-09-07,
OP01-051_p1,"Eustass""Captain""Kid (Parallel)",OP-01,Romance Dawn,SR,Green,Character,8,8000,,0,Special,Kid Pirates Supernovas,"[DON!! x1] [Opponent's Turn] If this Character is rested, your opponent cannot attack any card other than the Character [Eustass""Captain""Kid]. [Activate:Main] [Once Per Turn] You may rest this Character: Play up to 1 Character card with a cost of 3 or less from your hand.  This card has been officially errata'd.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-051_p1.jpg,,20.23,15.03,2026-09-07,
OP01-024_p1,Monkey.D.Luffy (024) (Parallel),OP-01,Romance Dawn,SR,Red,Character,2,3000,,1000,Strike,Straw Hat Crew Supernovas,"[DON!! x2] This Character cannot be K.O.'d in battle by ""Strike"" attribute Characters. [Activate:Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-024_p1.jpg,,240.33,88.12,2026-09-07,
OP01-016_p1,Nami (Parallel),OP-01,Romance Dawn,R,Red,Character,1,2000,,2000,Special,Straw Hat Crew,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""Straw Hat Crew"" type Character card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.  This card has been officially errata'd.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-016_p1.jpg,,439.13,141.00,2026-09-07,
OP01-070_p1,Dracule Mihawk (Parallel),OP-01,Romance Dawn,SR,Blue,Character,9,9000,,0,Slash,The Seven Warlords of the Sea,[On Play] Place up to 1 Character with a cost of 7 or less at the bottom of the owner's deck.  This card has been officially errata'd.,Yes,https://optcgapi.com/media/static/Card_Images/OP01-070_p1.jpg,,50.76,39.95,2026-09-07,
OP01-062_p1,Crocodile (062) (Parallel),OP-01,Romance Dawn,L,Blue Purple,Leader,,5000,4,,Special,Baroque Works The Seven Warlords of the Sea,"[DON!! x1] When you activate an Event, you may draw 1 card if you have 4 or less cards in your hand and haven't drawn a card using this Leader's effect during this turn.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-062_p1.jpg,,139.86,42.99,2026-09-07,
OP01-001_p1,Roronoa Zoro (001) (Parallel),OP-01,Romance Dawn,L,Red,Leader,,5000,5,,Slash,Straw Hat Crew Supernovas,[DON!! x1] [Your Turn] All of your Characters gain +1000 power.,Yes,https://optcgapi.com/media/static/Card_Images/OP01-001_p1.jpg,,568.01,169.00,2026-09-07,
OP01-060_p1,Donquixote Doflamingo (060) (Parallel),OP-01,Romance Dawn,L,Blue,Leader,,5000,5,,Special,Donquixote Pirates The Seven Warlords of the Sea,"[DON!! x2] [When Attacking] (1) (You may rest the specified number of DON!! cards in your cost area.): Reveal 1 card from the top of your deck. If that card is a ""The Seven Warlords of the Sea"" type Character card with a cost of 4 or less, you may play that card rested.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-060_p1.jpg,,261.28,80.00,2026-09-07,
OP01-091_p1,King (091) (Parallel),OP-01,Romance Dawn,L,Purple,Leader,,5000,5,,Special,Animal Kingdom Pirates,"[Your Turn] If you have 10 DON!! cards on your field, give all of your opponent's Characters -1000 power.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-091_p1.jpg,,84.41,30.00,2026-09-07,
OP01-003_p1,Monkey.D.Luffy (003) (Parallel),OP-01,Romance Dawn,L,Green Red,Leader,,5000,4,,Strike,Straw Hat Crew Supernovas,"[Activate:Main] [Once Per Turn] (4) (You may rest the specified number of DON!! cards in your cost area): Set up to 1 of your ""Supernova"" or ""Straw Hat Crew"" type Character cards with a cost of 5 or less as active. It gains +1000 power during this turn.  This card has been officially errata'd.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-003_p1.jpg,,355.88,99.99,2026-09-07,
OP01-061_p1,Kaido (061) (Parallel),OP-01,Romance Dawn,L,Blue Purple,Leader,,5000,4,,Strike,Animal Kingdom Pirates The Four Emperors,"[DON!! x1] [Your Turn] [Once Per Turn] When your opponent's Character is K.O.'d, add up to 1 DON!! card from your DON!! deck and set it as active.  This card has been officially errata'd.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-061_p1.jpg,,130.81,64.99,2026-09-07,
OP01-002_p1,Trafalgar Law (002) (Parallel),OP-01,Romance Dawn,L,Green Red,Leader,,5000,4,,Slash,Heart Pirates Supernovas,"[Activate:Main] [Once Per Turn] (2) (You may rest the specified number of DON!! cards in your cost area): If you have 5 Characters, return 1 of your Characters to your hand. Then, play up to 1 Character with a cost of 5 or less from your hand that is a different color than the returned character.  This card has been officially errata'd.",Yes,https://optcgapi.com/media/static/Card_Images/OP01-002_p1.jpg,,440.22,80.00,2026-09-07,
OP01-120_p2,Shanks (Parallel) (Manga) (Alternate Art),OP-01,Romance Dawn,SEC,Red,Character,9,10000,,0,Slash,The Four Emperors Red-Haired Pirates,[Rush] (This card can attack on the turn in which it is played.) [When Attacking] Your opponent cannot activate a [Blocker] Character that has 2000 or less power during this battle.,Yes,https://optcgapi.com/media/static/Card_Images/OP01-120_p2.jpg,,1532.80,2300.00,2026-09-07,
OP02-072_p1,Zephyr (Alternate Art),OP-02,Paramount War,L,Purple,Leader,,5000,4,,Strike,Film Neo Navy,"[When Attacking] DON!! -4 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less. Then, this Leader gains +1000 power during this turn.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-072_p1.jpg,,34.05,16.95,2026-09-07,
OP02-093_p1,Smoker (093) (Alternate Art),OP-02,Paramount War,L,Black,Leader,,5000,5,,Special,Navy,"[DON!! x1] [Activate:Main] [Once Per Turn] Give up to 1o of your opponent's Characters -1 cost during this turn. Then, if there is a Character with a cost of 0, this Leader gains +1000 power during this turn.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-093_p1.jpg,,82.47,28.12,2026-09-07,
OP02-071_p1,Magellan (071) (Alternate Art),OP-02,Paramount War,L,Purple,Leader,,6000,5,,Special,Impel Down,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, this Leader gains +1000 power during this turn.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-071_p1.jpg,,43.59,25.90,2026-09-07,
OP02-025_p1,Kin'emon (Alternate Art),OP-02,Paramount War,L,Green,Leader,,5000,5,,Slash,Land of Wano The Akazaya Nine,"[Activate:Main] [Once Per Turn] If you have 1 or less Characters, the next time you play a [Land of Wano] type Character card with a cost of 3 or more from your hand during this turn, the cost will be reduced by 1.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-025_p1.jpg,,32.57,15.00,2026-09-07,
OP02-001_p1,Edward.Newgate (001) (Alternate Art),OP-02,Paramount War,L,Red,Leader,,6000,6,,Special,The Four Emperors Whitebeard Pirates,[End of Your Turn] Add 1 card from the top of your Life cards to your hand.,Yes,https://optcgapi.com/media/static/Card_Images/OP02-001_p1.jpg,,101.92,55.00,2026-09-07,
OP02-026_p1,Sanji (Alternate Art),OP-02,Paramount War,L,Blue Green,Leader,,5000,4,,Strike,Straw Hat Crew,"[Once Per Turn] When you play a Character with no base effect from your hand, if you have 3 or less Characters, set up to 2 of your DON!! cards as active.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-026_p1.jpg,,141.84,49.94,2026-09-07,
OP02-049_p1,Emporio.Ivankov (049) (Alternate Art),OP-02,Paramount War,L,Blue,Leader,,5000,5,,Special,Revolutionary Army Impel Down,"[End of Your Turn] If you have 0 cards in your hand, draw 2 cards.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-049_p1.jpg,,40.22,20.95,2026-09-07,
OP02-002_p1,Monkey.D.Garp (002) (Alternate Art),OP-02,Paramount War,L,Red Black,Leader,,5000,4,,Strike,Navy,"[Your Turn] When this Leader or 1 of your Characters is given a DON!! card, give up to 1 of your opponent's Characters with a cost of 7 or less -1 cost during this turn.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-002_p1.jpg,,113.90,42.00,2026-09-07,
OP02-096,Kuzan (096),OP-02,Paramount War,SR,Black,Character,4,5000,,0,Special,Navy,[On Play] Draw 1 card. [When Attacking] Give up to 1 of your opponent's Characters -4 cost during this turn.,No,https://optcgapi.com/media/static/Card_Images/OP02-096.jpg,,0.45,0.42,2026-09-07,
OP02-114,Borsalino,OP-02,Paramount War,SR,Black,Character,4,5000,,1000,Special,Navy,"[Opponent's Turn] This Character gains +1000 power and cannot be K.O.'d by effects. [Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",No,https://optcgapi.com/media/static/Card_Images/OP02-114.jpg,,0.47,0.40,2026-09-07,
OP02-121,Kuzan (121),OP-02,Paramount War,SEC,Black,Character,10,10000,,0,Special,Former Navy,[Your Turn] Give all of your opponent's Characters -5 cost. [On Play] K.O. up to 1 of your opponent's Characters with a cost of 0.,No,https://optcgapi.com/media/static/Card_Images/OP02-121.jpg,,2.16,1.90,2026-09-07,
OP02-099,Sakazuki,OP-02,Paramount War,SR,Black,Character,6,7000,,0,Special,Navy,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,No,https://optcgapi.com/media/static/Card_Images/OP02-099.jpg,,0.40,0.35,2026-09-07,
OP02-096_p1,Kuzan (096) (Alternate Art),OP-02,Paramount War,SR,Black,Character,4,5000,,0,Special,Navy,[On Play] Draw 1 card. [When Attacking] Give up to 1 of your opponent's Characters -4 cost during this turn.,Yes,https://optcgapi.com/media/static/Card_Images/OP02-096_p1.jpg,,10.35,8.50,2026-09-07,
OP02-114_p1,Borsalino (Alternate Art),OP-02,Paramount War,SR,Black,Character,4,5000,,1000,Special,Navy,"[Opponent's Turn] This Character gains +1000 power and cannot be K.O.'d by effects. [Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Yes,https://optcgapi.com/media/static/Card_Images/OP02-114_p1.jpg,,6.24,5.33,2026-09-07,
OP02-121_p1,Kuzan (121) (Alternate Art),OP-02,Paramount War,SEC,Black,Character,10,10000,,0,Special,Former Navy,[Your Turn] Give all of your opponent's Characters -5 cost. [On Play] K.O. up to 1 of your opponent's Characters with a cost of 0.,Yes,https://optcgapi.com/media/static/Card_Images/OP02-121_p1.jpg,,11.54,8.51,2026-09-07,
OP02-115_p1,Monkey.D.Garp (115) (Alternate Art),OP-02,Paramount War,R,Black,Character,2,3000,,2000,Strike,Navy,[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with a cost of 0.,Yes,https://optcgapi.com/media/static/Card_Images/OP02-115_p1.jpg,,10.86,9.80,2026-09-07,
OP02-099_p1,Sakazuki (Alternate Art),OP-02,Paramount War,SR,Black,Character,6,7000,,0,Special,Navy,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,Yes,https://optcgapi.com/media/static/Card_Images/OP02-099_p1.jpg,,6.98,6.94,2026-09-07,
OP02-051,Emporio.Ivankov (051),OP-02,Paramount War,SR,Blue,Character,7,7000,,0,Special,Revolutionary Army Impel Down,[On Play] Draw card(s) so that you have 3 cards in your hand and then play up to 1 blue [Impel Down] type Character card with a cost of 6 or less from your hand.,No,https://optcgapi.com/media/static/Card_Images/OP02-051.jpg,,0.70,0.53,2026-09-07,
OP02-062,Monkey.D.Luffy (062),OP-02,Paramount War,SR,Blue,Character,6,7000,,0,Strike,Straw Hat Crew Impel Down,"[On Play] / [When Attacking] You may trash 2 cards from your hand: Return up to 1 Character with a cost of 4 or less to the owner's hand. Then, this Character gains [Double Attack] during this turn. (This card deals 2 damage.)",No,https://optcgapi.com/media/static/Card_Images/OP02-062.jpg,,1.66,1.50,2026-09-07,
OP02-051_p1,Emporio.Ivankov (051) (Alternate Art),OP-02,Paramount War,SR,Blue,Character,7,7000,,0,Special,Revolutionary Army Impel Down,[On Play] Draw card(s) so that you have 3 cards in your hand and then play up to 1 blue [Impel Down] type Character card with a cost of 6 or less from your hand.,Yes,https://optcgapi.com/media/static/Card_Images/OP02-051_p1.jpg,,5.88,5.96,2026-09-07,
OP02-058_p1,Buggy (Alternate Art),OP-02,Paramount War,R,Blue,Character,1,2000,,1000,Slash,Buggy Pirates Impel Down,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 blue [Impel Down] type card other than [Buggy] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-058_p1.jpg,,18.55,17.32,2026-09-07,
OP02-062_p1,Monkey.D.Luffy (062) (Alternate Art),OP-02,Paramount War,SR,Blue,Character,6,7000,,0,Strike,Straw Hat Crew Impel Down,"[On Play] / [When Attacking] You may trash 2 cards from your hand: Return up to 1 Character with a cost of 4 or less to the owner's hand. Then, this Character gains [Double Attack] during this turn. (This card deals 2 damage.)",Yes,https://optcgapi.com/media/static/Card_Images/OP02-062_p1.jpg,,72.79,44.00,2026-09-07,
OP02-004,Edward.Newgate (004),OP-02,Paramount War,SR,Red,Character,9,10000,,0,Special,The Four Emperors Whitebeard Pirates,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn. [DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",No,https://optcgapi.com/media/static/Card_Images/OP02-004.jpg,,0.44,0.41,2026-09-07,
OP02-013,Portgas.D.Ace,OP-02,Paramount War,SR,Red,Character,7,7000,,0,Special,Whitebeard Pirates,"[On Play] Give up to 2 of your opponent's Characters -3000 power during this turn. Then, if your Leader's type includes ""Whitebeard Pirates"", this Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",No,https://optcgapi.com/media/static/Card_Images/OP02-013.jpg,,4.44,4.35,2026-09-07,
OP02-018_p1,Marco (Alternate Art),OP-02,Paramount War,R,Red,Character,4,5000,,1000,Special,Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On K.O.] You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand: If you have 2 or less Life cards, play this Character card from your trash rested.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-018_p1.jpg,,5.35,5.35,2026-09-07,
OP02-017_p1,Masked Deuce (Alternate Art),OP-02,Paramount War,R,Red,Character,2,3000,,2000,Wisdom,Spade Pirates,[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 2000 power or less.,Yes,https://optcgapi.com/media/static/Card_Images/OP02-017_p1.jpg,,2.02,1.68,2026-09-07,
OP02-004_p1,Edward.Newgate (004) (Alternate Art),OP-02,Paramount War,SR,Red,Character,9,10000,,0,Special,The Four Emperors Whitebeard Pirates,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn. [DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",Yes,https://optcgapi.com/media/static/Card_Images/OP02-004_p1.jpg,,17.68,17.10,2026-09-07,
OP02-013_p1,Portgas.D.Ace (Parallel),OP-02,Paramount War,SR,Red,Character,7,7000,,0,Special,Whitebeard Pirates,"[On Play] Give up to 2 of your opponent's Characters -3000 power during this turn. Then, if your Leader's type includes ""Whitebeard Pirates"", this Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",Yes,https://optcgapi.com/media/static/Card_Images/OP02-013_p1.jpg,,55.59,35.00,2026-09-07,
OP02-013_p2,Portgas.D.Ace (Parallel) (Manga) (Alternate Art),OP-02,Paramount War,SR,Red,Character,7,7000,,0,Special,Whitebeard Pirates,"[On Play] Give up to 2 of your opponent's Characters -3000 power during this turn. Then, if your Leader's type includes ""Whitebeard Pirates"", this Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",Yes,https://optcgapi.com/media/static/Card_Images/OP02-013_p2.jpg,,1204.12,2250.00,2026-09-07,
OP02-036,Nami,OP-02,Paramount War,SR,Green,Character,3,5000,,0,Special,Film Straw Hat Crew,"[On Play]/[When Attacking] (1) (You may rest the specified number of DON!! cards in your cost area.): Look at 3 cards from the top of your deck; reveal up to 1 ""FILM"" type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",No,https://optcgapi.com/media/static/Card_Images/OP02-036.jpg,,5.05,3.53,2026-09-07,
OP02-030,Kouzuki Oden,OP-02,Paramount War,SR,Green,Character,8,8000,,0,Slash,Land of Wano Kouzuki Clan,"[Activate:Main] [Once Per Turn] (3) (You may rest the specified number of DON!! cards in your cost area.): Set this Character as active. [On K.O.] Play up to 1 green ""Land of Wano"" type Character card with a cost of 3 from your deck. Then, shuffle your deck.",No,https://optcgapi.com/media/static/Card_Images/OP02-030.jpg,,0.73,0.74,2026-09-07,
